year,url,text
2019,https://snacknation.com/blog/employee-recognition-templates/,image_src: https://snacknation.com/wp-content/uploads/2019/10/Logo-2.png
2023,https://snacknation.com/blog/employee-engagement-templates/,og_image: https://snacknation.com/wp-content/uploads/2023/12/empoyee-engagement-templates-e1708908523291.png
2019,https://snacknation.com/blog/employee-engagement-templates/,image_src: https://snacknation.com/wp-content/uploads/2019/10/Logo-2.png
2019,https://snacknation.com/blog/wellness-plan-template/,og_image: https://snacknation.com/wp-content/uploads/2019/02/wellness-plan-template_MAIN.jpg
2019,https://snacknation.com/blog/wellness-plan-template/,image_src: https://snacknation.com/wp-content/uploads/2019/10/Logo-2.png
2023,https://snacknation.com/blog/employee-directory-templates/,og_title: ðŸ“‡ 12 Best Employee Directory Templates for Workplaces in 2023
2023,https://snacknation.com/blog/employee-directory-templates/,og_image: https://snacknation.com/wp-content/uploads/2023/11/office-birthday-ideas-1-e1708908577453.png
2023,https://snacknation.com/blog/employee-directory-templates/,twitter_title: ðŸ“‡ 12 Best Employee Directory Templates for Workplaces in 2023
2023,https://snacknation.com/blog/employee-directory-templates/,twitter_image: https://snacknation.com/wp-content/uploads/2023/11/office-birthday-ideas-1-e1708908577453.png
2019,https://snacknation.com/blog/employee-directory-templates/,image_src: https://snacknation.com/wp-content/uploads/2019/10/Logo-2.png
2023,https://snacknation.com/blog/employee-information-templates/,og_image: https://snacknation.com/wp-content/uploads/2023/12/employee-information-templates-e1703202876301.png
2023,https://snacknation.com/blog/employee-information-templates/,twitter_image: https://snacknation.com/wp-content/uploads/2023/12/employee-information-templates-e1703202876301.png
2019,https://snacknation.com/blog/employee-information-templates/,image_src: https://snacknation.com/wp-content/uploads/2019/10/Logo-2.png
2022,https://snacknation.com/blog/employee-management-software/,og_image: https://snacknation.com/wp-content/uploads/2022/12/Employee-Management-Software-e1670371925164.png
2019,https://snacknation.com/blog/employee-management-software/,image_src: https://snacknation.com/wp-content/uploads/2019/10/Logo-2.png
2023,https://snacknation.com/blog/recruiting-plan-templates/,og_image: https://snacknation.com/wp-content/uploads/2023/05/recruiting-plan-templates-e1708747146717.png
2019,https://snacknation.com/blog/recruiting-plan-templates/,image_src: https://snacknation.com/wp-content/uploads/2019/10/Logo-2.png
2019,https://snacknation.com/blog/new-hire-checklist-templates/,image_src: https://snacknation.com/wp-content/uploads/2019/10/Logo-2.png
